sigma,rho,beta
11.041537922937739,34.33520575875204,5.887277070727006
12.974847146376801,39.37682696086559,2.2603545983787794
13.91281339442317,20.04985587322259,5.654822048628202
6.183284486695833,20.436728000643207,5.891523240951248
5.455501364261643,24.495153567745643,3.9998188642867016
8.478912940689543,21.052986498112425,4.66228499091476
10.15961496766827,28.996112454363768,4.327682891233378
12.648760234260214,23.337890873761175,5.749388653902445
6.067394192120435,39.118150159770494,4.869643781292446
7.681899979907431,39.48859254939461,2.0608556930026367
